
2,"Amusement Parks","Arts and Entertainment",1
3,"Aquariums","Arts and Entertainment",1
4,"Arcades","Arts and Entertainment",1
5,"Art Galleries","Arts and Entertainment",1
6,"Arts & Crafts Activites","Arts and Entertainment",1
7,"Ballet & Dance","Arts and Entertainment",1
8,"Biking","Arts and Entertainment",1
9,"Boating","Arts and Entertainment",1
10,"Botanical Gardens ","Arts and Entertainment",1
11,"Bowling","Arts and Entertainment",1
12,"Canoe & Kayak Rentals","Arts and Entertainment",1
13,"Casinos","Arts and Entertainment",1
14,"Children's Museum","Arts and Entertainment",1
15,"Circus","Arts and Entertainment",1
16,"Country Clubs","Arts and Entertainment",1
17,"Dance Companies","Arts and Entertainment",1
18,"Dinner Theater","Arts and Entertainment",1
19,"Entertainment","Arts and Entertainment",1
20,"Festivals ","Arts and Entertainment",1
21,"Fishing","Arts and Entertainment",1
22,"Fun Centers","Arts and Entertainment",1
23,"Gambling & Gaming","Arts and Entertainment",1
24,"Go Karts","Arts and Entertainment",1
25,"Plane & Helicopter Tours","Arts and Entertainment",1
26,"Hot Air Balloon","Arts and Entertainment",1
27,"Kid's Activities","Arts and Entertainment",1
28,"Laser Tag","Arts and Entertainment",1
29,"Live Music","Arts and Entertainment",1
30,"Miniature Golf","Arts and Entertainment",1
31,"Movie Theaters","Arts and Entertainment",1
32,"Museums","Arts and Entertainment",1
33,"Opera","Arts and Entertainment",1
34,"Paintball","Arts and Entertainment",1
35,"Psychics & Astrologers","Arts and Entertainment",1
36,"Segway Tours","Arts and Entertainment",1
37,"Skating","Arts and Entertainment",1
38,"Skydiving","Arts and Entertainment",1
39,"Speedway","Arts and Entertainment",1
40,"Sporting Events","Arts and Entertainment",1
41,"Symphony & Orchestra","Arts and Entertainment",1
42,"Theater & Plays","Arts and Entertainment",1
43,"Theme Parks","Arts and Entertainment",1
44,"Tours","Arts and Entertainment",1
45,"Walking Tours","Arts and Entertainment",1
46,"Water Parks","Arts and Entertainment",1
47,"Yacht Clubs","Arts and Entertainment",1
48,"Zoos","Arts and Entertainment",1
50,"Auto Glass Services ","Automotive",2
51,"Auto Parts & Accessories","Automotive",2
52,"Auto Repair & Services","Automotive",2
